index, Ar.x, Ar.y, Ag.x, Ag.y, InfR.x, InfR.y, InfG.x, InfG.y, Tr.x, Tr.y, Tg.x, Tg.y
0.0001, 1.68743,0.16566, NaN,NaN, 0.14667,-0.35346, 0.85333,0.35346, -0.82454,-0.90473, -1.80836,-0.72561
0.0051, 1.64670,0.28597, NaN,NaN, 0.15766,-0.34875, 0.84234,0.34875, -0.27744,-0.93683, 0.58061,-1.45039
0.0101, 1.62642,0.32803, NaN,NaN, 0.16843,-0.34382, 0.83157,0.34382, -0.13918,-0.89369, 0.83447,-1.12176
0.0151, 1.60898,0.35936, NaN,NaN, 0.17898,-0.33870, 0.82102,0.33870, -0.05199,-0.85420, 0.94692,-0.90082
0.0201, 1.59270,0.38563, NaN,NaN, 0.18932,-0.33339, 0.81068,0.33339, 0.01209,-0.81824, 1.00753,-0.72284
0.0251, 1.57695,0.40882, NaN,NaN, 0.19944,-0.32790, 0.80056,0.32790, 0.06271,-0.78517, 1.03935,-0.57029
0.0301, 1.56142,0.42989, NaN,NaN, 0.20934,-0.32224, 0.79066,0.32224, 0.10440,-0.75446, 1.05224,-0.43573
0.0351, 1.54596,0.44937, NaN,NaN, 0.21904,-0.31642, 0.78096,0.31642, 0.13970,-0.72573, 1.05155,-0.31519
0.0401, 1.53044,0.46758, NaN,NaN, 0.22853,-0.31046, 0.77147,0.31046, 0.17020,-0.69867, 1.04057,-0.20626
0.0451, 1.51480,0.48474, NaN,NaN, 0.23782,-0.30435, 0.76218,0.30435, 0.19694,-0.67307, 1.02152,-0.10733
0.0501, 1.49899,0.50100, NaN,NaN, 0.24691,-0.29812, 0.75309,0.29812, 0.22065,-0.64876, 0.99601,-0.01724
0.0551, 1.48298,0.51646, NaN,NaN, 0.25580,-0.29175, 0.74420,0.29175, 0.24188,-0.62558, 0.96527,0.06486
0.0601, 1.46673,0.53119, NaN,NaN, 0.26450,-0.28528, 0.73550,0.28528, 0.26103,-0.60343, 0.93025,0.13964
0.0651, 1.45022,0.54525, NaN,NaN, 0.27301,-0.27869, 0.72699,0.27869, 0.27843,-0.58219, 0.89173,0.20766
0.0701, 1.43345,0.55868, NaN,NaN, 0.28134,-0.27200, 0.71866,0.27200, 0.29432,-0.56180, 0.85036,0.26936
0.0751, 1.41640,0.57150, NaN,NaN, 0.28949,-0.26522, 0.71051,0.26522, 0.30890,-0.54217, 0.80668,0.32513
0.0801, 1.39907,0.58373, NaN,NaN, 0.29747,-0.25835, 0.70253,0.25835, 0.32234,-0.52325, 0.76118,0.37531
0.0851, 1.38144,0.59540, NaN,NaN, 0.30527,-0.25139, 0.69473,0.25139, 0.33478,-0.50498, 0.71427,0.42022
0.0901, 1.36352,0.60651, NaN,NaN, 0.31291,-0.24436, 0.68709,0.24436, 0.34633,-0.48731, 0.66631,0.46012
0.0951, 1.34531,0.61706, NaN,NaN, 0.32039,-0.23725, 0.67961,0.23725, 0.35710,-0.47020, 0.61763,0.49527
0.1001, 1.32681,0.62705, NaN,NaN, 0.32772,-0.23008, 0.67228,0.23008, 0.36716,-0.45360, 0.56851,0.52591
0.1051, 1.30802,0.63649, NaN,NaN, 0.33489,-0.22284, 0.66511,0.22284, 0.37658,-0.43750, 0.51922,0.55228
0.1101, 1.28894,0.64538, NaN,NaN, 0.34192,-0.21555, 0.65808,0.21555, 0.38544,-0.42184, 0.47000,0.57458
0.1151, 1.26958,0.65370, NaN,NaN, 0.34881,-0.20821, 0.65119,0.20821, 0.39379,-0.40661, 0.42105,0.59302
0.1201, 1.24995,0.66146, NaN,NaN, 0.35556,-0.20081, 0.64444,0.20081, 0.40167,-0.39178, 0.37258,0.60780
0.1251, 1.23005,0.66864, NaN,NaN, 0.36218,-0.19337, 0.63782,0.19337, 0.40913,-0.37732, 0.32474,0.61911
0.1301, 1.20989,0.67524, NaN,NaN, 0.36868,-0.18589, 0.63132,0.18589, 0.41621,-0.36321, 0.27771,0.62715
0.1351, 1.18948,0.68125, NaN,NaN, 0.37505,-0.17837, 0.62495,0.17837, 0.42294,-0.34944, 0.23161,0.63209
0.1401, 1.16883,0.68666, NaN,NaN, 0.38131,-0.17081, 0.61869,0.17081, 0.42935,-0.33598, 0.18658,0.63411
0.1451, 1.14795,0.69145, NaN,NaN, 0.38746,-0.16322, 0.61254,0.16322, 0.43547,-0.32281, 0.14273,0.63338
0.1501, 1.12686,0.69563, NaN,NaN, 0.39351,-0.15560, 0.60649,0.15560, 0.44132,-0.30992, 0.10016,0.63008
0.1551, 1.10557,0.69918, NaN,NaN, 0.39945,-0.14795, 0.60055,0.14795, 0.44693,-0.29729, 0.05895,0.62437
0.1601, 1.08408,0.70209, NaN,NaN, 0.40530,-0.14028, 0.59470,0.14028, 0.45232,-0.28492, 0.01920,0.61642
0.1651, 1.06242,0.70435, NaN,NaN, 0.41106,-0.13258, 0.58894,0.13258, 0.45751,-0.27278, -0.01905,0.60637
0.1701, 1.04061,0.70594, NaN,NaN, 0.41673,-0.12487, 0.58327,0.12487, 0.46251,-0.26086, -0.05572,0.59438
0.1751, 1.01865,0.70686, NaN,NaN, 0.42233,-0.11713, 0.57767,0.11713, 0.46734,-0.24915, -0.09078,0.58061
0.1801, 0.99658,0.70710, NaN,NaN, 0.42785,-0.10938, 0.57215,0.10938, 0.47202,-0.23764, -0.12418,0.56519
0.1851, 0.97439,0.70664, NaN,NaN, 0.43330,-0.10162, 0.56670,0.10162, 0.47656,-0.22633, -0.15589,0.54827
0.1901, 0.95213,0.70548, NaN,NaN, 0.43868,-0.09383, 0.56132,0.09383, 0.48096,-0.21519, -0.18589,0.52999
0.1951, 0.92979,0.70361, NaN,NaN, 0.44401,-0.08604, 0.55599,0.08604, 0.48525,-0.20423, -0.21417,0.51048
0.2001, 0.90742,0.70102, NaN,NaN, 0.44928,-0.07824, 0.55072,0.07824, 0.48944,-0.19342, -0.24071,0.48987
0.2051, 0.88502,0.69770, NaN,NaN, 0.45450,-0.07042, 0.54550,0.07042, 0.49353,-0.18277, -0.26551,0.46828
0.2101, 0.86262,0.69363, NaN,NaN, 0.45968,-0.06260, 0.54032,0.06260, 0.49754,-0.17227, -0.28857,0.44582
0.2151, 0.84025,0.68883, NaN,NaN, 0.46482,-0.05477, 0.53518,0.05477, 0.50147,-0.16190, -0.30991,0.42263
0.2201, 0.81793,0.68326, NaN,NaN, 0.46992,-0.04694, 0.53008,0.04694, 0.50533,-0.15167, -0.32953,0.39879
0.2251, 0.79568,0.67694, NaN,NaN, 0.47500,-0.03910, 0.52500,0.03910, 0.50913,-0.14156, -0.34746,0.37443
